,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor,Revenue per Theater,Is Blockbuster,Profitability,Genre
452,Air Force One,37132505,172956409,21.5,2919,12720,1997-07-25,Sony Pictures Releasing,59251.938677629325,No,4.65781689115776,Other
453,S.W.A.T.,37062535,116934650,31.7,3202,11574,2003-08-08,Sony Pictures Releasing,36519.25359150531,No,3.155063462334673,Other
454,Oblivion,37054485,89107235,41.6,3783,9795,2013-04-19,Universal Pictures,23554.6484271742,Yes,2.404762473422583,Other
455,Maleficent: Mistress of Evil,36948713,113929605,32.4,3790,9749,2019-10-18,Walt Disney Studios Motion Pictures,30060.581794195252,No,3.0834525954936507,Other
456,Red Dragon,36540945,93149898,39.2,3357,10885,2002-10-04,Universal Pictures,27747.95889186774,No,2.549192364893683,Other
457,Cowboys & Aliens,36431290,100240551,36.3,3750,9715,2011-07-29,Universal Pictures,26730.8136,No,2.751496062862446,Other
458,Freddy vs. Jason,36400000,82622655,44.1,3014,12076,2003-08-15,New Line Cinema,27412.95786330458,Yes,2.2698531593406592,Other
459,Interview with the Vampire: The Vampire Chronicles,36389705,105264608,34.6,2604,13974,1994-11-11,Warner Bros.,40424.196620583716,No,2.8927029773942934,Other
460,Marley & Me,36357586,143153751,25.4,3480,10447,2008-12-25,Twentieth Century Fox,41136.135344827584,No,3.9373832740160473,Other
461,21 Jump Street,36302612,138447667,26.2,3121,11631,2012-03-16,Sony Pictures Releasing,44360.03428388337,No,3.8137108977172223,Other
462,Kingsman: The Secret Service,36206331,128261724,28.2,3204,11300,2015-02-13,Twentieth Century Fox,40031.74906367041,No,3.542521997050737,Other
463,Jumanji: Welcome to the Jungle,36169328,404515480,8.9,3765,9606,2017-12-20,Sony Pictures Releasing,107441.0305444887,No,11.183936842840984,Other
464,Alien: Covenant,36160621,74262031,48.7,3761,9614,2017-05-19,Twentieth Century Fox,19745.288752991226,Yes,2.0536713404341147,Other
465,Ocean's Thirteen,36133403,117154724,30.8,3565,10135,2007-06-08,Warner Bros.,32862.475175315565,No,3.242283158328597,Other
466,Dumb and Dumber To,36111775,86208010,41.9,3154,11449,2014-11-14,Universal Pictures,27332.913760304375,Yes,2.3872548496993016,Other
467,Armageddon,36089972,201578182,17.9,3127,11541,1998-07-01,Walt Disney Studios Motion Pictures,64463.76143268308,No,5.585434701916643,Other
468,The Scorpion King,36075875,91047077,39.6,3444,10474,2002-04-19,Universal Pictures,26436.433507549362,No,2.5237662842550597,Other
469,Robin Hood,36063385,105269730,34.3,3503,10295,2010-05-14,Universal Pictures,30051.307450756496,No,2.9190196649593485,Other
470,Robots,36045301,128200012,28.1,3776,9545,2005-03-11,Twentieth Century Fox,33951.27436440678,No,3.5566359121262434,Other
471,The Equalizer 2,36011640,102084362,35.3,3388,10629,2018-07-20,Sony Pictures Releasing,30131.15761511216,No,2.8347601497737953,Other
472,Salt,36011243,118311368,30.4,3612,9969,2010-07-23,Sony Pictures Releasing,32755.08527131783,No,3.2854008399543444,Other
473,Star Wars: Episode IV - A New Hope1997 Special Edition,35906661,138257865,26.0,2104,17065,1997-01-31,Twentieth Century Fox,65711.9130228137,No,3.8504795809334653,Action
474,"10,000 BC",35867488,94784201,37.8,3410,10518,2008-03-07,Warner Bros.,27795.953372434018,No,2.642621668961038,Other
475,Rampage,35753093,101028233,35.4,4101,8718,2018-04-13,Warner Bros.,24635.023896610583,No,2.825720085252484,Other
476,Minority Report,35677125,132072926,27.0,3001,11888,2002-06-21,Twentieth Century Fox,44009.63878707097,No,3.7018937484452574,Other
477,Sweet Home Alabama,35648740,127223418,28.0,3293,10825,2002-09-27,Walt Disney Studios Motion Pictures,38634.50288490738,No,3.5688054612869906,Other
478,The Smurfs,35611637,142614158,25.0,3395,10489,2011-07-29,Sony Pictures Releasing,42007.11575846834,No,4.004706607562017,Other
479,Creed II,35574710,115715889,30.7,3441,10338,2018-11-21,Metro-Goldwyn-Mayer,33628.56408020924,No,3.2527570569092483,Other
480,Battle Los Angeles,35573187,83552429,42.6,3417,10410,2011-03-11,Sony Pictures Releasing,24451.983904009365,Yes,2.348747358509093,Action
481,The Other Guys,35543162,119219978,29.8,3651,9735,2010-08-06,Sony Pictures Releasing,32654.06135305396,No,3.3542310613782758,Other
482,Central Intelligence,35535250,127440871,27.9,3508,10129,2016-06-17,Warner Bros.,36328.640535917904,No,3.5863226233106564,Other
483,The World Is Not Enough,35519007,126943684,28.0,3163,11229,1999-11-19,Metro-Goldwyn-Mayer,40133.950047423335,No,3.573964891529766,Other
484,Super 8,35451168,127004179,27.9,3379,10491,2011-06-10,Paramount Pictures,37586.321100917434,No,3.5825104267368566,Other
485,Spider-Man: Into the Spider-Verse,35363376,190241310,18.6,3813,9274,2018-12-14,Sony Pictures Releasing,49892.8166797797,No,5.37961392600073,Other
486,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,82051601,43.0,4071,8675,2016-06-03,Paramount Pictures,20155.146401375583,Yes,2.3233297510486777,Other
487,Lilo & Stitch,35260212,145794338,24.2,3191,11049,2002-06-21,Walt Disney Studios Motion Pictures,45689.23158884362,No,4.134811724898308,Other
488,Sing,35258145,270395425,13.0,4022,8766,2016-12-21,Universal Pictures,67229.09622078568,No,7.669020165411425,Other
489,Ride Along 2,35243095,91221830,38.6,3175,11100,2016-01-15,Universal Pictures,28731.28503937008,No,2.5883603582488997,Other
490,National Treasure,35142554,173008894,20.3,3017,11648,2004-11-19,Walt Disney Studios Motion Pictures,57344.67815710971,No,4.923059775336761,Other
491,The Ring Two,35065237,76231249,46.0,3332,10523,2005-03-18,DreamWorks Distribution,22878.526110444178,Yes,2.1739835666874288,Other
492,Runaway Bride,35055556,152257509,23.0,3158,11100,1999-07-30,Paramount Pictures,48213.2707409753,No,4.343320328452357,Other
493,Sully,35028301,125070033,28.0,3525,9937,2016-09-09,Warner Bros.,35480.860425531915,No,3.5705423737223225,Other
494,Jungle Cruise,35018731,116987516,29.9,4310,8124,2021-07-30,Walt Disney Studios Motion Pictures,27143.27517401392,No,3.3407126032065526,Other
495,Annabelle: Creation,35006404,102092201,34.3,3502,9996,2017-08-11,Warner Bros.,29152.541690462593,No,2.916386413183142,Other
496,Mamma Mia! Here We Go Again,34952180,120634935,29.0,3317,10537,2018-07-20,Universal Pictures,36368.68706662647,No,3.451428065431112,Other
497,The Expendables,34825135,103068524,33.8,3270,10649,2010-08-13,Lionsgate Films,31519.42629969419,No,2.959601563640744,Other
498,Gladiator,34819017,187705427,18.6,2938,11851,2000-05-05,DreamWorks Distribution,63888.845132743365,No,5.390888174700624,Other
499,Scream 3,34713342,89143175,38.9,3467,10012,2000-02-04,Dimension Films,25711.90510527834,No,2.5679802019638442,Other
500,The Magnificent Seven,34703397,93432655,37.1,3674,9445,2016-09-23,Sony Pictures Releasing,25430.7716385411,No,2.6923201495231144,Other
501,The Equalizer 3,34604229,92373751,37.5,3965,8727,2023-09-01,Columbia Pictures,23297.289029003783,No,2.6694353167065215,Other
502,Identity Thief,34551025,134506920,25.7,3141,11000,2013-02-08,Universal Pictures,42822.96084049666,No,3.892993623199312,Other
503,Hellboy II: The Golden Army,34539115,75986503,45.4,3204,10779,2008-07-11,Universal Pictures,23716.137016229713,Yes,2.2000130287067288,Other
504,Enchanted,34440317,127807262,27.0,3730,9233,2007-11-21,Walt Disney Studios Motion Pictures,34264.681501340485,No,3.7109780958171785,Other
505,Couples Retreat,34286740,109204945,31.4,3000,11428,2009-10-09,Universal Pictures,36401.64833333333,No,3.1850489431191185,Other
506,Sausage Party,34263534,97685686,35.1,3103,11042,2016-08-12,Sony Pictures Releasing,31481.04608443442,No,2.8510102314606542,Other
507,I Now Pronounce You Chuck & Larry,34233750,120059556,28.5,3495,9795,2007-07-20,Universal Pictures,34351.804291845496,No,3.507052426333662,Other
508,Tarzan,34221968,171091819,20.0,3005,11388,1999-06-16,Walt Disney Studios Motion Pictures,56935.713477537436,No,4.999473408425839,Other
509,Ransom,34216088,136492681,25.1,2676,12786,1996-11-08,Walt Disney Studios Motion Pictures,51006.23355754858,No,3.989137536704956,Other
510,Norbit,34195434,95673607,35.7,3136,10904,2007-02-09,DreamWorks,30508.16549744898,No,2.7978474260627895,Other
511,The Equalizer,34137828,101530738,33.6,3236,10549,2014-09-26,Sony Pictures Releasing,31375.382571075403,No,2.9741417057933504,Other
512,The Blind Side,34119372,255959475,13.3,3110,10970,2009-11-20,Warner Bros.,82302.08199356913,No,7.501881189372419,Other
513,The Lego Movie 2: The Second Part,34115335,105806508,32.2,4303,7928,2019-02-08,Warner Bros.,24589.009528236114,No,3.1014354102048243,Other
514,Puss in Boots,34077439,149260504,22.8,3952,8622,2011-10-28,DreamWorks,37768.346153846156,No,4.380038769932212,Other
515,The Purge,34058360,64473115,52.8,2536,13429,2013-06-07,Universal Pictures,25423.15260252366,Yes,1.8930187771812852,Other
516,Lethal Weapon 4,34048124,130444603,26.1,3117,10923,1998-07-10,Warner Bros.,41849.40744305422,No,3.831183268716949,Other
517,Cloudy with a Chance of Meatballs 2,34017930,119793567,28.4,4001,8502,2013-09-27,Sony Pictures Releasing,29940.906523369158,No,3.5214831413904375,Other
518,Get Hard,33803253,90411453,37.4,3175,10646,2015-03-27,Warner Bros.,28476.04818897638,No,2.6746376450810816,Other
519,The Devil Inside,33732515,53261944,63.3,2285,14762,2012-01-06,Paramount Pictures,23309.38468271335,Yes,1.5789496869711612,Other
520,Think Like a Man,33636303,91547205,36.7,2015,16692,2012-04-20,Screen Gems,45432.85607940447,No,2.7216785685394735,Other
521,The Proposal,33627598,163958031,20.5,3056,11003,2009-06-19,Walt Disney Studios Motion Pictures,53651.18815445026,No,4.875698555692262,Other
522,What Women Want,33614543,182811707,18.4,3012,11160,2000-12-15,Paramount Pictures,60694.45783532537,No,5.4384706940683385,Other
523,Saw III,33610391,80238724,41.9,3167,10612,2006-10-27,Lionsgate Films,25335.87748658036,Yes,2.387318969303273,Other
524,Epic,33531068,107518682,31.2,3882,8637,2013-05-24,Twentieth Century Fox,27696.723853683667,No,3.2065391415507554,Other
525,The Green Hornet,33526876,98780042,33.9,3584,9354,2011-01-14,Sony Pictures Releasing,27561.395647321428,No,2.946294250618519,Other
526,Ted 2,33507870,81476385,41.1,3442,9735,2015-06-26,Universal Pictures,23671.233294596164,Yes,2.431559660461856,Other
527,101 Dalmatians,33504025,136189294,24.6,2794,11991,1996-11-27,Walt Disney Studios Motion Pictures,48743.4838940587,No,4.064863669365098,Other
528,Wrath of the Titans,33457188,83670083,40.0,3545,9437,2012-03-30,Warner Bros.,23602.28011283498,No,2.500810378923656,Other
529,The Haunting,33435140,91411151,36.6,2808,11907,1999-07-23,DreamWorks Distribution,32553.828703703704,No,2.733984394861215,Other
530,Get Out,33377060,176040665,19.0,2781,12001,2017-02-24,Universal Pictures,63301.20999640417,No,5.274301121788438,Other
531,Live Free or Die Hard,33369559,134529403,24.8,3408,9791,2007-06-27,Twentieth Century Fox,39474.59008215962,No,4.031500775901773,Other
532,American Wedding,33369440,104565114,31.9,3172,10520,2003-08-01,Universal Pictures,32965.04224464061,No,3.133559148730096,Other
533,Lethal Weapon 3,33243086,144731527,23.0,2510,13244,1992-05-15,Warner Bros.,57661.96294820717,No,4.353733194324979,Other
534,Hustlers,33181361,104963598,31.6,3250,10209,2019-09-13,STX Entertainment,32296.491692307693,No,3.1633300996906066,Other
535,A Wrinkle in Time,33123609,100478608,33.0,3980,8322,2018-03-09,Walt Disney Studios Motion Pictures,25245.881407035176,No,3.033443849672299,Other
536,Superbad,33052411,121463226,27.2,2948,11211,2007-08-17,Sony Pictures Releasing,41201.90841248304,No,3.6748673493137916,Other
537,Tomorrowland,33028165,93436322,35.4,3972,8315,2015-05-22,Walt Disney Studios Motion Pictures,23523.746727089627,No,2.8289891975530583,Other
538,Blades of Glory,33014202,118594548,27.8,3372,9790,2007-03-30,DreamWorks,35170.38790035587,No,3.5922282174198847,Other
539,Insidious: The Red Door,33013036,82156962,40.2,3188,10355,2023-07-07,Screen Gems,25770.690715181932,Yes,2.4886218280560444,Other
540,Birds of Prey,33010017,84158461,39.2,4236,7792,2020-02-07,Warner Bros.,19867.436496694994,No,2.549482510112006,Other
541,Rush Hour,33001803,141186864,23.4,2638,12510,1998-09-18,New Line Cinema,53520.418498862775,No,4.278156075290796,Other
542,Scream 2,32926342,101363301,32.5,2663,12364,1997-12-12,Dimension Films,38063.57529102516,No,3.078486550373558,Other
543,A Nightmare on Elm Street,32902299,63075011,52.2,3332,9874,2010-04-30,Warner Bros.,18930.07533013205,Yes,1.9170396269269816,Other
544,Dark Phoenix,32828348,65845974,49.9,3721,8822,2019-06-07,Twentieth Century Fox,17695.77371674281,Yes,2.0057656876307024,Other
545,The Book of Eli,32789494,94835059,34.6,3111,10539,2010-01-15,Warner Bros.,30483.786242365797,No,2.8922391727057453,Other
546,Blade Runner 2049,32753122,92054159,35.6,4058,8071,2017-10-06,Warner Bros.,22684.612863479546,No,2.810546090842882,Other
547,Where the Wild Things Are,32695407,77233467,42.3,3735,8753,2009-10-16,Warner Bros.,20678.304417670683,Yes,2.3622115179664225,Other
548,Due Date,32689406,100539043,32.5,3355,9743,2010-11-05,Warner Bros.,29966.927868852457,No,3.0755848852071526,Other
549,The Nun II,32603336,86267073,37.8,3728,8745,2023-09-08,Warner Bros.,23140.30928111588,No,2.6459584687898197,Other
550,Blade II,32528016,82348319,39.5,2707,12016,2002-03-22,New Line Cinema,30420.509420022165,No,2.5316121032404806,Other
551,The Maze Runner,32512804,102427862,31.7,3604,9021,2014-09-19,Twentieth Century Fox,28420.605438401777,No,3.1503853681767957,Other
552,Spy Kids 3: Game Over,32500000,111761982,29.1,3344,9718,2003-07-25,Dimension Films,33421.64533492823,No,3.4388302153846153,Other
553,Hannah Montana: The Movie,32324487,79576189,40.6,3118,10367,2009-04-10,Walt Disney Studios Motion Pictures,25521.548749198206,Yes,2.4617927888538493,Other
554,Mr. Peabody & Sherman,32207057,111506430,28.9,3934,8186,2014-03-07,Twentieth Century Fox,28344.28825622776,No,3.4621738335172942,Other
555,Immortals,32206425,83504017,38.6,3112,10349,2011-11-11,Relativity Media,26832.9103470437,No,2.5927751062093978,Other
556,Wedding Crashers,32200000,209255921,15.4,2925,11008,2005-07-15,New Line Cinema,71540.48581196582,No,6.498631086956522,Other
557,Elf,32100000,173398518,18.5,3337,9619,2003-11-07,New Line Cinema,51962.396763560086,No,5.401822990654206,Other
558,Jackass Presents: Bad Grandpa,32055177,102003019,31.4,3336,9608,2013-10-25,Paramount Pictures,30576.44454436451,No,3.1821074954600936,Other
559,The SpongeBob SquarePants Movie,32018216,85417988,37.5,3212,9968,2004-11-19,Paramount Pictures,26593.39601494396,No,2.6677934835594836,Other
560,Paul Blart: Mall Cop,31832636,146336178,21.8,3144,10124,2009-01-16,Sony Pictures Releasing,46544.5858778626,No,4.59704870184172,Other
561,Terminator 2: Judgment Day,31765506,204843345,15.5,2274,13969,1991-07-03,TriStar Pictures,90080.62664907651,No,6.448609538913058,Other
562,Saw IV,31756764,63300095,50.2,3183,9976,2007-10-26,Lionsgate Films,19886.928997800816,Yes,1.9932791325967596,Other
563,Saw II,31725652,87039965,36.4,2949,10758,2005-10-28,Lionsgate Films,29515.077992539846,No,2.743520133171731,Other
564,G-Force,31706934,119436770,26.6,3697,8576,2009-07-24,Walt Disney Studios Motion Pictures,32306.40248850419,No,3.766897486839945,Other
565,The Mummy,31688375,80227895,39.5,4035,7853,2017-06-09,Universal Pictures,19882.997521685254,No,2.5317768740113684,Other
566,Godzilla vs. Kong,31625971,100916094,31.3,3064,10321,2021-03-31,Warner Bros.,32936.062010443864,No,3.190924762436543,Other
567,Bad Teacher,31603106,100292856,31.5,3049,10365,2011-06-24,Sony Pictures Releasing,32893.68842243359,No,3.1735126287903475,Other
568,The Truman Show,31542121,125618201,25.1,2315,13625,1998-06-05,Paramount Pictures,54262.72181425486,No,3.982554026725089,Other
569,The Purge: Election Year,31515110,79213375,39.8,2796,11271,2016-07-01,Universal Pictures,28330.963876967096,No,2.5135046331743727,Other
570,The Wolfman,31479235,61979680,50.8,3222,9770,2010-02-12,Universal Pictures,19236.399751707013,Yes,1.9689068047555793,Other
571,Ford v Ferrari,31474958,117624357,26.8,3528,8921,2019-11-15,Twentieth Century Fox,33340.23724489796,No,3.737077488713408,Other
572,Liar Liar,31423025,181410615,17.3,2845,11045,1997-03-21,Universal Pictures,63764.71528998243,No,5.773174765955855,Other
573,Percy Jackson & the Olympians: The Lightning Thief,31236067,88768303,35.2,3356,9307,2010-02-12,Twentieth Century Fox,26450.62663885578,No,2.8418527531010866,Other
574,Elvis,31211579,151040048,20.7,3906,7990,2022-06-24,Warner Bros.,38668.72708653354,No,4.839231235305333,Other
575,Girls Trip,31201920,115171585,27.1,2591,12042,2017-07-21,Universal Pictures,44450.631030490156,No,3.6911698062170535,Other
576,Evan Almighty,31192615,100462298,31.0,3604,8654,2007-06-22,Universal Pictures,27875.221420643727,No,3.220707786121811,Other
577,The Sum of All Fears,31178526,118907036,26.2,3183,9795,2002-05-31,Paramount Pictures,37356.907320138234,No,3.813747834006008,Other
578,Home Alone 2: Lost in New York,31126882,173585516,17.9,2222,14008,1992-11-20,Twentieth Century Fox,78121.29432943295,No,5.5767074903294205,Other
579,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,31117834,65281781,47.7,683,45560,2008-02-01,Walt Disney Studios Motion Pictures,95580.93850658857,Yes,2.097889621751951,Other
580,Bringing Down the House,31101026,132716677,23.4,2801,11103,2003-03-07,Walt Disney Studios Motion Pictures,47381.891110317745,No,4.267276487920366,Other
581,Four Christmases,31069826,120146040,25.9,3310,9386,2008-11-26,Warner Bros.,36297.89728096677,No,3.866968550129634,Other
582,Space Jam: A New Legacy,31053362,70592228,44.0,3965,7831,2021-07-16,Warner Bros.,17803.840605296344,Yes,2.2732555656936597,Other
583,Into the Woods,31051923,128002372,24.3,2440,12726,2014-12-25,Walt Disney Studios Motion Pictures,52459.98852459016,No,4.122204347859551,Other
584,Pokémon: The First Movie - Mewtwo Strikes Back,31036678,85744662,36.2,3043,10199,1999-11-10,Warner Bros.,28177.674005915214,No,2.762688133053415,Other
585,Downton Abbey,31033665,96853865,32.0,3079,10079,2019-09-20,Focus Features,31456.273140630074,No,3.1209289975901977,Other
586,Sex and the City 2,31001870,95347692,32.5,3445,8999,2010-05-27,Warner Bros.,27677.123947750362,No,3.0755464750997277,Other
587,Step Brothers,30940732,100468793,30.8,3094,10000,2008-07-25,Sony Pictures Releasing,32472.137362637364,No,3.247136913244328,Other
588,Little Fockers,30833665,148438600,20.8,3536,8719,2010-12-22,Universal Pictures,41979.24208144796,No,4.814173079976059,Other
589,Star Trek: First Contact,30716131,92027888,33.4,2812,10923,1996-11-22,Paramount Pictures,32726.84495021337,No,2.996076817096528,Adventure
590,Knocked Up,30690990,148768917,20.6,2871,10690,2007-06-01,Universal Pictures,51817.80459770115,No,4.847315677988882,Other
591,The Dukes of Hazzard,30675314,80270227,38.2,3785,8104,2005-08-05,Warner Bros.,21207.457595772787,No,2.6167695300527325,Other
592,Unbroken,30621445,115637895,26.5,3131,9780,2014-12-25,Universal Pictures,36933.21462791441,No,3.7763696324585596,Other
593,Brüno,30619130,60054530,51.0,2756,11109,2009-07-10,Universal Pictures,21790.46806966618,Yes,1.9613401817752496,Other
594,Saving Private Ryan,30576104,216540909,14.1,2463,12414,1998-07-24,DreamWorks Distribution,87917.54323995128,No,7.082030758398781,Other
595,The Pacifier,30552694,113086868,27.0,3131,9758,2005-03-04,Walt Disney Studios Motion Pictures,36118.450335356116,No,3.7013714077063056,Other
596,Bram Stoker's Dracula,30521679,82522790,37.0,2491,12252,1992-11-13,Columbia Pictures,33128.37816138097,No,2.70374346050884,Other
597,The Happening,30517109,64506874,47.3,2986,10220,2008-06-13,Twentieth Century Fox,21603.10582719357,Yes,2.1137937410781604,Other
598,Just Go with It,30514732,103028109,29.6,3548,8600,2011-02-11,Sony Pictures Releasing,29038.36217587373,No,3.3763399593350516,Other
599,The Day the Earth Stood Still,30480153,79366978,38.4,3560,8561,2008-12-12,Twentieth Century Fox,22294.094943820226,No,2.6038904069805686,Other
600,Dear John,30468614,80014842,38.1,2969,10262,2010-02-05,Screen Gems,26950.098349612665,No,2.6261398697032954,Other
601,The Lost City,30453269,105344029,28.9,4253,7160,2022-03-25,Paramount Pictures,24769.346108629205,No,3.459202655714892,Other
602,John Wick: Chapter 2,30436123,92029184,33.1,3113,9777,2017-02-10,Lionsgate Films,29562.8602634115,No,3.023682878400774,Other
603,Night at the Museum,30433781,250863268,12.1,3685,8258,2006-12-22,Twentieth Century Fox,68076.87055630937,No,8.24292150883257,Other
604,M3GAN,30429860,95159005,32.0,3509,8671,2023-01-06,Universal Pictures,27118.553719008265,No,3.1271588170303772,Other
605,Olympus Has Fallen,30373794,98925640,30.7,3098,9804,2013-03-22,FilmDistrict,31932.098127824403,No,3.2569405060164693,Other
606,Unbreakable,30330771,95011339,31.9,2708,11200,2000-11-22,Walt Disney Studios Motion Pictures,35085.427991137374,No,3.132506555801038,Other
607,Maze Runner: The Scorch Trials,30316510,81697192,37.1,3791,7996,2015-09-18,Twentieth Century Fox,21550.301239778422,No,2.6948086042885544,Other
608,Cloudy with a Chance of Meatballs,30304648,124870275,24.3,3119,9716,2009-09-18,Sony Pictures Releasing,40035.35588329593,No,4.120499106275711,Other
609,The Addams Family,30300007,100044905,30.3,4007,7561,2019-10-11,United Artists Releasing,24967.533067132517,No,3.3018112834099345,Other
610,America's Sweethearts,30181877,93607673,32.2,3011,10023,2001-07-20,Revolution Studios,31088.566257057457,No,3.101453001084061,Other
611,John Carter,30180188,73078100,41.3,3749,8050,2012-03-09,Walt Disney Studios Motion Pictures,19492.691384369165,Yes,2.421393133800227,Other
612,The Lion King2011 3D Release,30151614,94242001,32.0,2330,12940,2011-09-16,Walt Disney Studios Motion Pictures,40447.21072961373,No,3.125603856563035,Other
613,The X Files,30138758,83898313,35.9,2629,11463,1998-06-19,Twentieth Century Fox,31912.63332065424,No,2.7837349170128376,Other
614,Django Unchained,30122888,162805434,18.5,3010,10007,2012-12-25,The Weinstein Company,54088.18405315615,No,5.4047086720237445,Other
615,Shazam! Fury of the Gods,30111158,57638006,52.2,4071,7396,2023-03-17,Warner Bros.,14158.193564234833,Yes,1.9141743402894036,Other
616,The Best Man Holiday,30107555,70525195,42.7,2024,14875,2013-11-15,Universal Pictures,34844.46393280633,Yes,2.3424417891124003,Other
617,Trainwreck,30097040,110212700,27.3,3158,9530,2015-07-17,Universal Pictures,34899.525015832805,No,3.6619116032672983,Other
618,Prince of Persia: The Sands of Time,30095259,90759676,33.2,3646,8254,2010-05-28,Walt Disney Studios Motion Pictures,24892.94459681843,No,3.0157466330494116,Other
619,Dodgeball: A True Underdog Story,30070196,114326736,26.3,2694,11161,2004-06-18,Twentieth Century Fox,42437.541202672604,No,3.8019950385424823,Other
620,A Series of Unfortunate Events,30061756,118634549,25.3,3620,8304,2004-12-17,Paramount Pictures,32771.97486187845,No,3.946361250487164,Other
621,Sleepy Hollow,30060467,101071502,29.7,3064,9810,1999-11-19,Paramount Pictures,32986.78263707572,No,3.362273180918979,Other
622,Panic Room,30056751,96397334,31.2,3053,9844,2002-03-29,Sony Pictures Releasing,31574.626269243367,No,3.20717744908623,Other
623,The Exorcism of Emily Rose,30054300,75072454,40.0,2981,10081,2005-09-09,Screen Gems,25183.647769204963,No,2.497893945292354,Other
624,Saw V,30053954,56746769,53.0,3060,9821,2008-10-24,Lionsgate Films,18544.695751633986,Yes,1.8881631681475257,Other
625,Catch Me If You Can,30053627,164615351,18.3,3156,9522,2002-12-25,DreamWorks Distribution,52159.490177439795,No,5.477387171937683,Other
626,A Christmas Carol,30051075,137855863,21.8,3683,8159,2009-11-06,Walt Disney Studios Motion Pictures,37430.31849036112,No,4.587385409673365,Other
627,Men in Black: International,30035838,80001807,37.5,4224,7110,2019-06-14,Sony Pictures Releasing,18939.821732954544,No,2.6635450291082274,Other
628,Madea's Family Reunion,30030661,63257940,47.5,2194,13687,2006-02-24,Lionsgate Films,28832.242479489516,Yes,2.10644514284917,Other
629,Bullet Train,30030156,103368602,29.0,4357,6892,2022-08-05,Sony Pictures Releasing,23724.719302272206,No,3.442160007427201,Other
630,Scream,30018805,81641405,36.8,3664,8192,2022-01-14,Paramount Pictures,22282.04284934498,No,2.719675383480455,Other
631,Meg 2: The Trench,30002735,82600317,36.3,3503,8564,2023-08-04,Warner Bros.,23579.879246360262,No,2.753092909696399,Other
632,Trolls Band Together,30002525,102996915,29.1,3870,7752,2023-11-17,Universal Pictures,26614.18992248062,No,3.43294156075197,Other
633,The Purge: Anarchy,29816675,71962800,41.4,2805,10629,2014-07-18,Universal Pictures,25655.1871657754,Yes,2.413508548488388,Other
634,Elysium,29807393,93050117,32.0,3284,9076,2013-08-09,TriStar Pictures,28334.383982947624,No,3.1217126905395585,Other
635,Hercules,29800263,72688614,41.0,3595,8289,2014-07-25,Paramount Pictures,20219.36411682893,Yes,2.4391937077870756,Other
636,Constantine,29769098,75976178,39.2,3006,9903,2005-02-18,Warner Bros.,25274.842980705256,No,2.5521827366082777,Other
637,What Lies Beneath,29702959,155464351,19.1,2813,10559,2000-07-21,DreamWorks Distribution,55266.388553146106,No,5.233968474319343,Other
638,The Flintstones,29688730,130531208,22.7,2498,11885,1994-05-27,Universal Pictures,52254.286629303446,No,4.396658530021325,Other
639,Dark Shadows,29685274,79727149,37.2,3755,7905,2012-05-11,Warner Bros.,21232.263382157125,No,2.685747451749982,Other
640,Daddy's Home 2,29651193,104029443,28.5,3575,8294,2017-11-10,Paramount Pictures,29099.144895104895,No,3.5084403855183837,Other
641,Creed,29632823,109767581,27.0,3404,8705,2015-11-25,Warner Bros.,32246.645417156287,No,3.7042566278616116,Other
642,Elemental,29602429,154426697,19.2,4035,7336,2023-06-16,Walt Disney Studios Motion Pictures,38271.79603469641,No,5.216690056076142,Other
643,Insidious: The Last Key,29581355,67745330,43.7,3116,9493,2018-01-05,Universal Pictures,21741.12002567394,Yes,2.290136134737574,Other
644,Justin Bieber: Never Say Never,29514054,73013910,40.4,3105,9505,2011-02-11,Paramount Pictures,23514.946859903383,Yes,2.4738692285376995,Other
645,Ghostbusters II,29472894,112494738,26.2,2410,12229,1989-06-16,Columbia Pictures,46678.31452282158,No,3.8168880870673916,Other
646,Scooby-Doo 2: Monsters Unleashed,29438331,84216833,35.0,3312,8888,2004-03-26,Warner Bros.,25427.787741545893,No,2.860788303521691,Other
647,Indiana Jones and the Last Crusade,29355021,197171806,14.9,2327,12614,1989-05-24,Paramount Pictures,84732.18994413408,No,6.716800032267052,Other
648,A.I. Artificial Intelligence,29352630,78616689,37.3,3242,9053,2001-06-29,Warner Bros.,24249.44139420111,No,2.6783524679049204,Other
649,Now You See Me,29350389,117723989,24.9,2925,10034,2013-05-31,Lionsgate Films,40247.51760683761,No,4.010985646561618,Other
650,Beverly Hills Chihuahua,29300465,94514402,31.0,3215,9113,2008-10-03,Walt Disney Studios Motion Pictures,29397.947744945566,No,3.225696315741064,Other
651,Why Did I Get Married Too?,29289537,60095852,48.7,2155,13591,2010-04-02,Lionsgate Films,27886.70626450116,Yes,2.0517856598416016,Other
652,Think Like a Man Too,29241911,65182182,44.9,2225,13142,2014-06-20,Screen Gems,29295.362696629214,Yes,2.2290671085073748,Other
653,The Muppets,29239026,88631237,33.0,3440,8499,2011-11-23,Walt Disney Studios Motion Pictures,25764.894476744186,No,3.0312650291428995,Other
654,The Lone Ranger,29210849,89302115,32.7,3904,7482,2013-07-03,Walt Disney Studios Motion Pictures,22874.517161885247,No,3.057155750591159,Other
