,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor,Revenue per Theater,Is Blockbuster,Profitability,Genre
329,Batman Returns,45687711,162831698,28.1,2644,17279,1992-06-19,Warner Bros.,61585.36232980333,No,3.5640152337682225,Other
330,Mission: Impossible,45436830,180981856,25.1,3012,15085,1996-05-22,Paramount Pictures,60086.93758300133,No,3.9831532261383553,Other
331,Mad Max: Fury Road,45428128,153636354,29.6,3702,12271,2015-05-15,Warner Bros.,41500.905996758505,No,3.381965332139594,Other
332,The Meg,45402195,145443742,31.2,4118,11025,2018-08-10,Warner Bros.,35319.02428363283,No,3.203451771439685,Other
333,Ghost Rider,45388836,115802596,39.2,3619,12541,2007-02-16,Sony Pictures Releasing,31998.50676982592,No,2.551345357259217,Other
334,American Pie 2,45117985,145103595,31.1,3063,14729,2001-08-10,Universal Pictures,47373.03134182174,No,3.2160920971980462,Other
335,300: Rise of an Empire,45038460,106580051,42.3,3470,12979,2014-03-07,Warner Bros.,30714.7121037464,Yes,2.366423074856467,Other
336,Horton Hears a Who!,45012998,154529439,29.1,3954,11384,2008-03-14,Twentieth Century Fox,39081.80045523521,No,3.4329959315307104,Other
337,Ghostbusters: Frozen Empire,45004673,88863665,50.6,4345,10357,2024-03-22,Sony Pictures Releasing,20451.936708860758,Yes,1.974543065783413,Other
338,The Hangover,44979319,277322503,16.2,3269,13759,2009-06-05,Warner Bros.,84834.04802691955,No,6.1655558413412175,Other
339,National Treasure: Book of Secrets,44783772,219964115,20.4,3832,11686,2007-12-21,Walt Disney Studios Motion Pictures,57401.908924843425,No,4.911692454132716,Other
340,Transformers: The Last Knight,44680073,130168683,34.3,4069,10980,2017-06-21,Paramount Pictures,31990.337429343817,No,2.9133498282332706,Other
341,The Hunger Games: The Ballad of Songbirds & Snakes,44607143,166350594,26.8,3776,11813,2023-11-17,Lionsgate Films,44054.7123940678,No,3.7292366830128527,Other
342,xXx,44506103,142109382,31.3,3374,13190,2002-08-09,Revolution Studios,42118.96324836989,No,3.1930313467346263,Other
343,Scream VI,44447270,108161389,41.1,3675,12094,2023-03-10,Paramount Pictures,29431.670476190477,Yes,2.4334765442287005,Other
344,Nope,44366910,123277080,36.0,3785,11721,2022-07-22,Universal Pictures,32569.902245706737,No,2.7785816050745926,Other
345,Alvin and the Chipmunks,44307417,217326974,20.4,3475,12750,2007-12-14,Twentieth Century Fox,62540.136402877695,No,4.904979543266989,Other
346,The Peanuts Movie,44213073,130178411,34.0,3897,11345,2015-11-06,Twentieth Century Fox,33404.7757249166,No,2.944342072762054,Other
347,Hotel Transylvania 3: Summer Vacation,44076225,167510016,26.3,4267,10329,2018-07-13,Sony Pictures Releasing,39257.09303960628,No,3.8004619497245966,Other
348,Godzilla,44047541,136314294,32.3,3310,13307,1998-05-20,Sony Pictures Releasing,41182.56616314199,No,3.094708374299487,Other
349,Terminator 3: Rise of the Machines,44041440,150371112,29.3,3504,12568,2003-07-02,Warner Bros.,42914.1301369863,No,3.414309613854588,Other
350,Tron: Legacy,44026211,172062763,25.6,3451,12757,2010-12-17,Walt Disney Studios Motion Pictures,49858.812807881775,No,3.9081892148293207,Other
351,Uncharted,44010155,148648820,29.6,4275,10294,2022-02-18,Sony Pictures Releasing,34771.65380116959,No,3.377602737368228,Other
352,Ghostbusters: Afterlife,44008406,129360575,34.0,4315,10198,2021-11-19,Sony Pictures Releasing,29979.275782155273,No,2.9394514993340137,Other
353,Lucy,43899340,126663600,34.7,3173,13835,2014-07-25,Universal Pictures,39919.19319256224,No,2.885319004795972,Other
354,How to Train Your Dragon,43732319,217581231,20.1,4055,10784,2010-03-26,DreamWorks,53657.516892725034,No,4.9752959819029945,Other
355,Noah,43720472,101200044,43.2,3567,12256,2014-03-28,Paramount Pictures,28371.19259882254,Yes,2.314706117536883,Other
356,The Croods,43639736,187168425,23.3,4046,10785,2013-03-22,Twentieth Century Fox,46260.11492832427,No,4.288944942288377,Other
357,American Gangster,43565135,130164645,33.5,3054,14264,2007-11-02,Universal Pictures,42621.03634577603,No,2.9878168631865827,Other
358,The Mummy,43369635,155516138,27.9,3210,13510,1999-05-07,Universal Pictures,48447.39501557632,No,3.585829993727178,Other
359,Hitch,43142214,179495555,24.0,3575,12067,2005-02-11,Sony Pictures Releasing,50208.54685314685,No,4.160555019267208,Other
360,A Star Is Born,42908051,215288866,19.9,3686,11640,2018-10-05,Warner Bros.,58407.180141074336,No,5.017446865624356,Adventure
361,Batman & Robin,42872605,107325195,40.0,2934,14612,1997-06-20,Warner Bros.,36579.82106339468,No,2.5033513825437015,Other
362,Terminator Salvation,42558390,125322469,34.0,3530,12056,2009-05-21,Warner Bros.,35502.115864022664,No,2.9447182799913247,Other
363,Hotel Transylvania,42522194,148313048,28.7,3349,12696,2012-09-28,Sony Pictures Releasing,44285.771275007464,No,3.487897355437492,Other
364,Nutty Professor II: The Klumps,42518830,123309890,34.5,3242,13115,2000-07-28,Universal Pictures,38035.129549660705,No,2.9001242508319254,Other
365,Shrek,42347760,267851831,15.8,3587,11805,2001-05-16,DreamWorks Distribution,74672.9386674101,No,6.325053107885753,Other
366,Scary Movie,42346669,157019771,27.0,2912,14542,2000-07-07,Miramax,53921.624656593405,No,3.7079603829052057,Other
367,Anger Management,42220847,135645823,31.1,3551,11889,2003-04-11,Revolution Studios,38199.330611095465,No,3.2127688722113983,Other
368,Fantastic Beasts: The Secrets of Dumbledore,42151256,95850844,44.0,4208,10016,2022-04-15,Warner Bros.,22778.24239543726,Yes,2.2739736154006893,Other
